BillNo,items_string
536369,bath building block word
536381,"cook with wine metal sign,retrospot large milk jug,tea time des tea cosy,you're confusing me metal sign,red drawer knob acrylic edwardian,piggy bank retrospot,paper chain kit 50's christmas,paper chain kit retrospot,zinc willie winkie  candle stick,girly pink tool set,gin + tonic diet metal sign,skull shoulder bag,ceramic cherry cake money bank,felt egg cosy white rabbit,red toadstool led night light,white spot red ceramic drawer knob,doormat fancy font home sweet home,edwardian parasol natural,retrospot tea set ceramic 11 pc,small heart flowers hook,clear drawer knob acrylic edwardian,yellow breakfast cup and saucer,ceramic strawberry cake money bank,pink breakfast cup and saucer,balloon art make your own flowers,airline lounge,metal sign,gumball monochrome coat rack,glass cloche small,blue owl soft toy,edwardian parasol black,jumbo shopper vintage red paisley,photo clip line,felt egg cosy chicken,set of 6 funky beakers"
536382,"3 tier cake tin red and cream,inflatable political globe,vintage snakes & ladders,chocolate calculator,jumbo shopper vintage red paisley,ivory giant garden thermometer,set 3 wicker oval baskets w lids,antique glass dressing table pot,3 tier cake tin green and cream,toy tidy pink polkadot,alarm clock bakelike green,recycling bag retrospot"
536388,"fridge magnets les enfants assorted,homemade jam scented candles,5 hook hanger magic toadstool,home small wood letters,gingham heart  doorstop red,assorted bottle top  magnets,hanging metal heart lantern,heart of wicker small,rose caravan doorstop,fridge magnets us diner assorted,love building block word,home building block word,five heart hanging decoration,doormat fancy font home sweet home"
536392,"set of 6 soldier skittles,party cones candy assorted,star decoration painted zinc,traditional wooden skipping rope,assorted colour bird ornament,picnic basket wicker small,wooden box of dominoes,3 stripey mice feltcraft,rustic  seventeen drawer sideboard,party cones carnival assorted"
536393,retrospot lamp
536400,homemade jam scented candles
536402,"hot water bottle babushka,paper chain kit 50's christmas,paper chain kit vintage christmas"
536416,"cupcake lace paper set 6,rotating leaves t-light holder,wooden frame antique white,red  harmonica in box,triple photo frame cornice,family photo frame cornice"
536437,"black heart card holder,cream heart card holder,namaste swagat incense,ceramic strawberry design mug,red retrospot oven glove,classical rose small vase"
536463,washroom metal sign
536526,"victorian  metal postcard spring,jumbo shopper vintage red paisley,jumbo bag pink vintage paisley,ivory kitchen scales,metal 4 hook hanger french chateau,red kitchen scales,jumbo bag red retrospot,black kitchen scales,grey heart hot water bottle"
536530,"milk bottle with glass stopper,regency cakestand 3 tier,welcome  wooden block letters,christmas lights 10 vintage baubles,vintage union jack apron,ridged glass storage jar cream lid,set 3 wicker oval baskets w lids,washroom metal sign,glass jar english confectionery,no junk mail metal sign,glass  beurre dish,glass jar digestive biscuits,vintage glass coffee caddy,christmas lights 10 reindeer,set/4 modern vintage cotton napkins,swallow square tissue box,roses regency teacup and saucer,ridged glass finger bowl,jumbo shopper vintage red paisley,silver glass t-light set,slate tile natural hanging,vintage billboard drink me mug"
